sample_id,prediction_date,regime_bucket,sample_seed,model_scope,qqq_close,qqq_ret_1d,qqq_ret_20d,qqq_dist_ma_50,qqq_dist_ma_200,qqq_volume_ratio_20,qqq_realized_vol_20,qqq_drawdown_60,vix_close,vix_change_5d,hyg_close,hyg_change_5d,technical_trend_score,market_pressure_score,future_return_1d,future_return_5d,future_return_20d,future_max_drawdown_1d,future_max_drawdown_5d,future_max_drawdown_20d,kg_coverage_state,fundamental_coverage_state,independent_news_source_count,eligible_for_full_kg_backtest,created_at_utc,fundamental_ticker_coverage,fundamental_source
HIST-20070517,2007-05-17,正常／溫和上漲,20260724,市場技術與壓力基準,39.71074295043945,-0.004726004372732406,0.026135271719608832,0.032176117181969666,0.08378105009682457,0.9908702021100468,0.1217526699129948,-0.010676494453575325,13.510000228881836,-0.0066176580929010465,32.08000946044922,0.0020837466687400052,1.0,1.0,0.008201685832175842,-0.00366957212885044,0.0316715775212002,0.008201685832175842,-0.00366957212885044,-0.00366957212885044,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070525,2007-05-25,橫盤／低波動,20260724,市場技術與壓力基準,39.813575744628906,0.00628217097374173,-0.0025770614580322704,0.024345774757139838,0.07900097588044708,0.7487829287198404,0.12946191597666676,-0.012752903740265276,13.34000015258789,0.045454538660057775,32.15275192260742,0.0019825310919885375,0.3333333333333333,0.0,0.007750776332796416,0.024327745142470603,0.014571294705606697,0.007750776332796416,0.007750776332796416,-0.002367659331467542,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070529,2007-05-29,橫盤／低波動,20260724,市場技術與壓力基準,40.122161865234375,0.007750776332796416,0.018495001835032943,0.030476363755116198,0.08605618211830368,0.8543450820663531,0.12266617647142004,-0.005100972311953278,13.529999732971191,0.017293198416384437,32.02547073364258,-0.002925207677274666,1.0,-1.0,0.008117964772807573,0.016449472626553163,0.0009959322229853296,0.008117964772807573,0.008117964772807573,-0.01004061311774418,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070601,2007-06-01,橫盤／低波動,20260724,市場技術與壓力基準,40.662139892578125,0.0006325217566645058,0.018243844088941197,0.03941615029770462,0.09657444839638307,1.053134106095959,0.12025360964735342,0.0,12.779999732971191,-0.09232955950135291,32.04240036010742,-0.0020209741713322904,1.0,0.0,0.002951403351953541,-0.011171615192541062,0.004157294600714234,0.002951403351953541,-0.023186903949739435,-0.023186903949739435,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070620,2007-06-20,橫盤／低波動,20260724,市場技術與壓力基準,40.582435607910156,-0.009422110552763874,0.0063123184423332646,0.019100928386321714,0.08010412749922602,1.2333605518134165,0.13152233264766017,-0.009628859917738763,14.670000076293945,-0.004073283625728674,31.371726989746094,-0.006468715714474826,1.0,0.0,0.009088736865793035,0.0048609561437662485,0.06362266204017475,0.009088736865793035,-0.010357061682528368,-0.010357061682528368,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070807,2007-08-07,高波動／壓力,20260724,市場技術與壓力基準,41.44022750854492,0.0070874219513081815,-0.003506479318092226,0.004060445070863006,0.06997449265405153,0.9956510864359679,0.17835569262683057,-0.039944277158478037,21.559999465942383,-0.08333337388070994,30.088321685791016,0.00858782707368455,0.3333333333333333,1.0,0.010970784494997776,-0.03146362336993702,0.01800851250912827,0.010970784494997776,-0.03146362336993702,-0.059201217456157695,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20070817,2007-08-17,高波動／壓力,20260724,市場技術與壓力基準,39.724639892578125,0.01892235620760707,-0.07472516068130863,-0.037008317291110426,0.021340037437500792,1.0700313470037732,0.21767560031710842,-0.0796897082955379,29.989999771118164,0.05971733496884557,30.773540496826172,0.013932890833999512,-0.3333333333333333,0.0,0.004750145387137028,0.04081172500205499,0.05398404928335854,0.004750145387137028,0.004750145387137028,0.004750145387137028,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20071011,2007-10-11,正常／溫和上漲,20260724,市場技術與壓力基準,45.19513702392578,-0.015885043050544945,0.07131742023353227,0.06905868272540094,0.13189923419516125,2.305668393417692,0.14614996377661793,-0.015885043050544945,18.8799991607666,0.023861096202049126,32.62211990356445,0.005295742951039184,1.0,0.0,0.016520935741262788,0.021268381518200208,-0.017660741376717026,0.016520935741262788,0.003987969243479439,-0.017660741376717026,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20071106,2007-11-06,高波動／壓力,20260724,市場技術與壓力基準,46.92877960205078,0.011281427712162007,0.024353301985141185,0.06029894289813198,0.15339471486658973,0.7650837235891856,0.2085353227246961,-0.006360229267102446,21.389999389648438,0.015187456073045169,32.315006256103516,0.002007164236163428,1.0,0.0,-0.02432349343989948,-0.07205551443339175,-0.05669325671117231,-0.02432349343989948,-0.10881493546873067,-0.10881493546873067,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
HIST-20071211,2007-12-11,強勢反彈／轉折,20260724,市場技術與壓力基準,44.045074462890625,-0.023220499274446693,0.05314989465903319,-0.015881914080285164,0.06481223047811113,0.9532007100837293,0.26024513383149667,-0.06741794561161951,23.59000015258789,-0.008406925399019882,32.09862518310547,-0.005882856095089761,0.3333333333333333,0.0,0.008963592372593032,-0.02786434822614492,-0.0639116824375775,0.008963592372593032,-0.030981663847834295,-0.08478348457564044,需要歷史多來源事件回補,資料不足,0,False,2026-07-27 19:30:45.007317+00:00,0,SEC Company Facts（point-in-time filed_at）
